Time (s),Output,Frequency (Hz),RPM
1764251518,-252.45,90.91 Hz,568.18
1764251519,-249.95,106.00 Hz,662.50
1764251520,-247.45,104.18 Hz,651.14
1764251520,-244.95,102.73 Hz,642.05
1764251521,-242.45,102.36 Hz,639.77
1764251521,-239.95,102.00 Hz,637.50
1764251522,-237.45,102.36 Hz,639.77
1764251522,-234.95,102.36 Hz,639.77
1764251523,-232.45,102.18 Hz,638.64
1764251523,-229.95,102.18 Hz,638.64
1764251524,-227.45,102.00 Hz,637.50
1764251525,-224.95,101.64 Hz,635.23
1764251525,-222.45,101.09 Hz,631.82
1764251526,-219.95,100.73 Hz,629.55
1764251526,-217.45,100.73 Hz,629.55
1764251527,-214.95,100.18 Hz,626.14
1764251527,-212.45,100.18 Hz,626.14
1764251528,-209.95,100.00 Hz,625.00
1764251528,-207.45,99.64 Hz,622.73
1764251529,-204.95,99.27 Hz,620.45
1764251530,-202.45,98.73 Hz,617.05
1764251530,-199.95,98.36 Hz,614.77
1764251531,-197.45,98.18 Hz,613.64
1764251531,-194.95,97.82 Hz,611.36
1764251532,-192.45,97.64 Hz,610.23
1764251532,-189.95,97.27 Hz,607.95
1764251533,-187.45,96.73 Hz,604.55
1764251533,-184.95,96.55 Hz,603.41
1764251534,-182.45,96.00 Hz,600.00
1764251534,-179.95,95.64 Hz,597.73
1764251535,-177.45,95.64 Hz,597.73
1764251536,-174.95,94.91 Hz,593.18
1764251536,-172.45,94.73 Hz,592.05
1764251537,-169.95,94.00 Hz,587.50
1764251537,-167.45,93.64 Hz,585.23
1764251538,-164.95,92.91 Hz,580.68
1764251538,-162.45,92.55 Hz,578.41
1764251539,-159.95,92.00 Hz,575.00
1764251539,-157.45,91.09 Hz,569.32
1764251540,-154.95,90.18 Hz,563.64
1764251541,-152.45,90.00 Hz,562.50
1764251541,-149.95,90.18 Hz,563.64
1764251542,-147.45,90.18 Hz,563.64
1764251542,-144.95,90.18 Hz,563.64
1764251543,-142.45,90.18 Hz,563.64
1764251543,-139.95,90.18 Hz,563.64
1764251544,-137.45,90.18 Hz,563.64
1764251544,-134.95,90.00 Hz,562.50
1764251545,-132.45,87.09 Hz,544.32
1764251546,-129.95,84.73 Hz,529.55
1764251546,-127.45,83.64 Hz,522.73
1764251547,-124.95,83.09 Hz,519.32
1764251547,-122.45,82.00 Hz,512.50
1764251548,-119.95,81.27 Hz,507.95
1764251548,-117.45,80.18 Hz,501.14
1764251549,-114.95,79.27 Hz,495.45
1764251549,-112.45,78.00 Hz,487.50
1764251550,-109.95,76.91 Hz,480.68
1764251551,-107.45,76.00 Hz,475.00
1764251551,-104.95,74.73 Hz,467.05
1764251552,-102.45,73.64 Hz,460.23
1764251552,-99.95,72.36 Hz,452.27
1764251553,-97.45,70.91 Hz,443.18
1764251553,-94.95,69.64 Hz,435.23
1764251554,-92.45,68.18 Hz,426.14
1764251554,-89.95,66.73 Hz,417.05
1764251555,-87.45,65.27 Hz,407.95
1764251555,-84.95,63.45 Hz,396.59
1764251556,-82.45,61.82 Hz,386.36
1764251557,-79.95,59.82 Hz,373.86
1764251557,-77.45,58.36 Hz,364.77
1764251558,-74.95,56.18 Hz,351.14
1764251558,-72.45,54.36 Hz,339.77
1764251559,-69.95,52.36 Hz,327.27
1764251559,-67.45,50.00 Hz,312.50
1764251560,-64.95,47.82 Hz,298.86
1764251560,-62.45,45.27 Hz,282.95
1764251561,-59.95,42.91 Hz,268.18
1764251562,-57.45,40.18 Hz,251.14
1764251562,-54.95,37.64 Hz,235.23
