Time (s),Output,Frequency (Hz),RPM
1764249896,-252.45,54.73 Hz,342.05
1764249897,-249.95,100.91 Hz,630.68
1764249897,-247.45,104.73 Hz,654.55
1764249898,-244.95,104.36 Hz,652.27
1764249898,-242.45,103.27 Hz,645.45
1764249899,-239.95,102.91 Hz,643.18
1764249900,-237.45,102.91 Hz,643.18
1764249900,-234.95,102.91 Hz,643.18
1764249901,-232.45,102.73 Hz,642.05
1764249901,-229.95,102.73 Hz,642.05
1764249902,-227.45,102.55 Hz,640.91
1764249902,-224.95,102.18 Hz,638.64
1764249903,-222.45,101.82 Hz,636.36
1764249903,-219.95,101.45 Hz,634.09
1764249904,-217.45,101.27 Hz,632.95
1764249904,-214.95,100.91 Hz,630.68
1764249905,-212.45,100.73 Hz,629.55
1764249906,-209.95,100.36 Hz,627.27
1764249906,-207.45,100.18 Hz,626.14
1764249907,-204.95,99.82 Hz,623.86
1764249907,-202.45,99.27 Hz,620.45
1764249908,-199.95,98.91 Hz,618.18
1764249908,-197.45,98.55 Hz,615.91
1764249909,-194.95,98.36 Hz,614.77
1764249909,-192.45,97.82 Hz,611.36
1764249910,-189.95,97.45 Hz,609.09
1764249911,-187.45,97.09 Hz,606.82
1764249911,-184.95,96.91 Hz,605.68
1764249912,-182.45,96.36 Hz,602.27
1764249912,-179.95,96.00 Hz,600.00
1764249913,-177.45,95.64 Hz,597.73
1764249913,-174.95,95.27 Hz,595.45
1764249914,-172.45,94.73 Hz,592.05
1764249914,-169.95,94.36 Hz,589.77
1764249915,-167.45,93.82 Hz,586.36
1764249916,-164.95,93.27 Hz,582.95
1764249916,-162.45,92.91 Hz,580.68
1764249917,-159.95,92.36 Hz,577.27
1764249917,-157.45,92.18 Hz,576.14
1764249918,-154.95,91.64 Hz,572.73
1764249918,-152.45,91.45 Hz,571.59
1764249919,-149.95,90.91 Hz,568.18
1764249919,-147.45,90.00 Hz,562.50
1764249920,-144.95,89.45 Hz,559.09
1764249921,-142.45,88.91 Hz,555.68
1764249921,-139.95,88.18 Hz,551.14
1764249922,-137.45,87.82 Hz,548.86
1764249922,-134.95,86.91 Hz,543.18
1764249923,-132.45,86.36 Hz,539.77
1764249923,-129.95,85.27 Hz,532.95
1764249924,-127.45,84.73 Hz,529.55
1764249924,-124.95,84.00 Hz,525.00
1764249925,-122.45,83.09 Hz,519.32
1764249925,-119.95,82.36 Hz,514.77
1764249926,-117.45,81.45 Hz,509.09
1764249927,-114.95,80.55 Hz,503.41
1764249927,-112.45,79.64 Hz,497.73
1764249928,-109.95,78.55 Hz,490.91
1764249928,-107.45,77.64 Hz,485.23
1764249929,-104.95,76.55 Hz,478.41
1764249929,-102.45,75.27 Hz,470.45
1764249930,-99.95,74.00 Hz,462.50
1764249930,-97.45,72.73 Hz,454.55
1764249931,-94.95,71.45 Hz,446.59
1764249932,-92.45,70.00 Hz,437.50
1764249932,-89.95,68.73 Hz,429.55
1764249933,-87.45,67.45 Hz,421.59
1764249933,-84.95,65.64 Hz,410.23
1764249934,-82.45,63.82 Hz,398.86
1764249934,-79.95,62.00 Hz,387.50
1764249935,-77.45,60.36 Hz,377.27
1764249935,-74.95,58.73 Hz,367.05
1764249936,-72.45,56.73 Hz,354.55
1764249937,-69.95,54.91 Hz,343.18
1764249937,-67.45,52.91 Hz,330.68
1764249938,-64.95,50.91 Hz,318.18
1764249938,-62.45,48.55 Hz,303.41
1764249939,-59.95,46.00 Hz,287.50
1764249939,-57.45,43.45 Hz,271.59
1764249940,-54.95,41.09 Hz,256.82
1764249940,-52.45,38.36 Hz,239.77
1764249941,-49.95,35.82 Hz,223.86
1764249941,-47.45,32.91 Hz,205.68
1764249942,-44.95,30.36 Hz,189.77
1764249943,-42.45,27.09 Hz,169.32
1764249943,-39.95,24.18 Hz,151.14
1764249944,-37.45,21.09 Hz,131.82
1764249944,-34.95,17.82 Hz,111.36
1764249945,-32.45,14.73 Hz,92.05
1764249945,-29.95,11.27 Hz,70.45
1764249946,-27.45,7.64 Hz,47.73
1764249946,-24.95,4.73 Hz,29.55
1764249947,-22.45,0.91 Hz,5.68
1764249948,-19.95,0.00 Hz,0.00
1764249948,-17.45,0.00 Hz,0.00
1764249949,-14.95,0.00 Hz,0.00
1764249949,-12.45,0.00 Hz,0.00
1764249950,-9.95,0.00 Hz,0.00
1764249950,-7.45,0.00 Hz,0.00
1764249951,-4.95,0.00 Hz,0.00
1764249951,-2.45,0.00 Hz,0.00
1764249952,0.05,0.00 Hz,0.00
1764249952,2.55,0.00 Hz,0.00
1764249953,5.05,0.00 Hz,0.00
1764249954,7.55,0.00 Hz,0.00
1764249954,10.05,0.00 Hz,0.00
1764249955,12.55,0.00 Hz,0.00
1764249955,15.05,0.00 Hz,0.00
1764249956,17.55,0.00 Hz,0.00
1764249956,20.05,0.00 Hz,0.00
1764249957,22.55,0.00 Hz,0.00
1764249957,25.05,0.00 Hz,0.00
1764249958,27.55,0.18 Hz,1.14
1764249958,30.05,0.00 Hz,0.00
1764249959,32.55,0.00 Hz,0.00
1764249960,35.05,0.00 Hz,0.00
1764249960,37.55,0.00 Hz,0.00
1764249961,40.05,0.18 Hz,1.14
1764249961,42.55,3.27 Hz,20.45
1764249962,45.05,7.27 Hz,45.45
1764249962,47.55,10.91 Hz,68.18
1764249963,50.05,14.36 Hz,89.77
1764249963,52.55,18.18 Hz,113.64
1764249964,55.05,21.45 Hz,134.09
1764249965,57.55,25.09 Hz,156.82
1764249965,60.05,28.18 Hz,176.14
1764249966,62.55,31.09 Hz,194.32
1764249966,65.05,34.18 Hz,213.64
1764249967,67.55,37.27 Hz,232.95
1764249967,70.05,40.18 Hz,251.14
1764249968,72.55,43.09 Hz,269.32
1764249968,75.05,45.82 Hz,286.36
1764249969,77.55,48.55 Hz,303.41
1764249969,80.05,50.91 Hz,318.18
1764249970,82.55,53.27 Hz,332.95
1764249971,85.05,55.27 Hz,345.45
1764249971,87.55,57.64 Hz,360.23
1764249972,90.05,59.45 Hz,371.59
1764249972,92.55,61.27 Hz,382.95
1764249973,95.05,62.91 Hz,393.18
1764249973,97.55,64.73 Hz,404.55
1764249974,100.05,66.55 Hz,415.91
1764249974,102.55,68.73 Hz,429.55
1764249975,105.05,70.18 Hz,438.64
1764249976,107.55,71.27 Hz,445.45
1764249976,110.05,72.55 Hz,453.41
1764249977,112.55,73.82 Hz,461.36
1764249977,115.05,75.09 Hz,469.32
1764249978,117.55,76.18 Hz,476.14
1764249978,120.05,77.45 Hz,484.09
1764249979,122.55,78.73 Hz,492.05
1764249979,125.05,79.27 Hz,495.45
1764249980,127.55,80.18 Hz,501.14
1764249980,130.05,81.27 Hz,507.95
1764249981,132.55,82.55 Hz,515.91
1764249982,135.05,83.64 Hz,522.73
1764249982,137.55,84.55 Hz,528.41
1764249983,140.05,85.09 Hz,531.82
1764249983,142.55,85.27 Hz,532.95
1764249984,145.05,85.82 Hz,536.36
1764249984,147.55,86.18 Hz,538.64
1764249985,150.05,87.09 Hz,544.32
1764249985,152.55,87.82 Hz,548.86
1764249986,155.05,88.36 Hz,552.27
1764249987,157.55,88.91 Hz,555.68
1764249987,160.05,90.18 Hz,563.64
1764249988,162.55,91.09 Hz,569.32
1764249988,165.05,91.45 Hz,571.59
1764249989,167.55,92.18 Hz,576.14
1764249989,170.05,92.55 Hz,578.41
1764249990,172.55,92.91 Hz,580.68
1764249990,175.05,93.09 Hz,581.82
1764249991,177.55,93.82 Hz,586.36
1764249992,180.05,94.55 Hz,590.91
1764249992,182.55,94.91 Hz,593.18
1764249993,185.05,95.64 Hz,597.73
1764249993,187.55,95.82 Hz,598.86
1764249994,190.05,96.18 Hz,601.14
1764249994,192.55,96.55 Hz,603.41
1764249995,195.05,96.91 Hz,605.68
1764249995,197.55,97.27 Hz,607.95
1764249996,200.05,97.45 Hz,609.09
1764249996,202.55,97.82 Hz,611.36
1764249997,205.05,98.36 Hz,614.77
1764249998,207.55,98.55 Hz,615.91
1764249998,210.05,98.91 Hz,618.18
1764249999,212.55,99.27 Hz,620.45
1764249999,215.05,99.64 Hz,622.73
1764250000,217.55,99.82 Hz,623.86
1764250000,220.05,100.00 Hz,625.00
1764250001,222.55,100.36 Hz,627.27
1764250001,225.05,100.73 Hz,629.55
1764250002,227.55,101.27 Hz,632.95
1764250003,230.05,101.45 Hz,634.09
1764250003,232.55,101.82 Hz,636.36
1764250004,235.05,102.00 Hz,637.50
1764250004,237.55,102.18 Hz,638.64
1764250005,240.05,102.00 Hz,637.50
1764250005,242.55,102.00 Hz,637.50
1764250006,245.05,102.18 Hz,638.64
1764250006,247.55,102.36 Hz,639.77
1764250007,250.05,103.27 Hz,645.45
1764250008,252.55,104.73 Hz,654.55
1764250008,255.00,106.91 Hz,668.18
1764250009,255.00,107.82 Hz,673.86
1764250009,255.00,108.18 Hz,676.14
1764250010,255.00,108.00 Hz,675.00
1764250010,255.00,108.18 Hz,676.14
1764250011,255.00,108.18 Hz,676.14
1764250011,255.00,108.00 Hz,675.00
1764250012,255.00,108.36 Hz,677.27
1764250012,255.00,108.18 Hz,676.14
1764250013,255.00,108.18 Hz,676.14
1764250014,255.00,108.18 Hz,676.14
1764250014,255.00,108.18 Hz,676.14
1764250015,255.00,108.18 Hz,676.14
