Timestamp,Output,Frequency (Hz),RPM
2025-11-25 16:05:34,-253,47.82 Hz,298.86
2025-11-25 16:05:34,-252,47.82 Hz,298.86
2025-11-25 16:05:34,-251,47.27 Hz,295.45
2025-11-25 16:05:34,-250,47.09 Hz,294.32
2025-11-25 16:05:35,-249,46.73 Hz,292.05
2025-11-25 16:05:35,-248,46.36 Hz,289.77
2025-11-25 16:05:35,-247,46.00 Hz,287.50
2025-11-25 16:05:35,-246,46.00 Hz,287.50
2025-11-25 16:05:36,-245,45.64 Hz,285.23
2025-11-25 16:05:36,-244,45.45 Hz,284.09
2025-11-25 16:05:36,-243,45.45 Hz,284.09
2025-11-25 16:05:36,-242,45.64 Hz,285.23
2025-11-25 16:05:37,-241,45.45 Hz,284.09
2025-11-25 16:05:37,-240,45.45 Hz,284.09
2025-11-25 16:05:37,-239,45.64 Hz,285.23
2025-11-25 16:05:37,-238,45.64 Hz,285.23
2025-11-25 16:05:38,-237,45.64 Hz,285.23
2025-11-25 16:05:38,-236,45.45 Hz,284.09
2025-11-25 16:05:38,-235,45.64 Hz,285.23
2025-11-25 16:05:38,-234,45.64 Hz,285.23
2025-11-25 16:05:39,-233,45.45 Hz,284.09
2025-11-25 16:05:39,-232,45.64 Hz,285.23
2025-11-25 16:05:39,-231,45.64 Hz,285.23
2025-11-25 16:05:39,-230,45.45 Hz,284.09
2025-11-25 16:05:40,-229,45.64 Hz,285.23
2025-11-25 16:05:40,-228,45.45 Hz,284.09
2025-11-25 16:05:40,-227,45.45 Hz,284.09
2025-11-25 16:05:40,-226,45.27 Hz,282.95
2025-11-25 16:05:41,-225,45.09 Hz,281.82
2025-11-25 16:05:41,-224,45.09 Hz,281.82
2025-11-25 16:05:41,-223,45.09 Hz,281.82
2025-11-25 16:05:41,-222,45.09 Hz,281.82
2025-11-25 16:05:42,-221,44.91 Hz,280.68
2025-11-25 16:05:42,-220,44.73 Hz,279.55
2025-11-25 16:05:42,-219,44.91 Hz,280.68
2025-11-25 16:05:42,-218,44.73 Hz,279.55
2025-11-25 16:05:43,-217,44.73 Hz,279.55
2025-11-25 16:05:43,-216,44.55 Hz,278.41
2025-11-25 16:05:43,-215,44.55 Hz,278.41
2025-11-25 16:05:43,-214,44.55 Hz,278.41
2025-11-25 16:05:44,-213,44.18 Hz,276.14
2025-11-25 16:05:44,-212,44.18 Hz,276.14
2025-11-25 16:05:44,-211,44.18 Hz,276.14
2025-11-25 16:05:44,-210,44.00 Hz,275.00
2025-11-25 16:05:45,-209,44.00 Hz,275.00
2025-11-25 16:05:45,-208,44.00 Hz,275.00
2025-11-25 16:05:45,-207,44.00 Hz,275.00
2025-11-25 16:05:45,-206,43.82 Hz,273.86
2025-11-25 16:05:46,-205,43.82 Hz,273.86
2025-11-25 16:05:46,-204,43.64 Hz,272.73
2025-11-25 16:05:46,-203,43.64 Hz,272.73
2025-11-25 16:05:46,-202,43.64 Hz,272.73
2025-11-25 16:05:47,-201,43.64 Hz,272.73
2025-11-25 16:05:47,-200,43.45 Hz,271.59
2025-11-25 16:05:47,-199,43.27 Hz,270.45
2025-11-25 16:05:47,-198,43.45 Hz,271.59
2025-11-25 16:05:48,-197,43.27 Hz,270.45
2025-11-25 16:05:48,-196,43.27 Hz,270.45
2025-11-25 16:05:48,-195,43.09 Hz,269.32
2025-11-25 16:05:48,-194,43.27 Hz,270.45
2025-11-25 16:05:49,-193,43.09 Hz,269.32
2025-11-25 16:05:49,-192,43.09 Hz,269.32
2025-11-25 16:05:49,-191,42.91 Hz,268.18
2025-11-25 16:05:49,-190,42.91 Hz,268.18
2025-11-25 16:05:50,-189,42.91 Hz,268.18
2025-11-25 16:05:50,-188,42.91 Hz,268.18
2025-11-25 16:05:50,-187,42.73 Hz,267.05
2025-11-25 16:05:50,-186,42.55 Hz,265.91
2025-11-25 16:05:51,-185,42.73 Hz,267.05
2025-11-25 16:05:51,-184,42.36 Hz,264.77
2025-11-25 16:05:51,-183,42.55 Hz,265.91
2025-11-25 16:05:51,-182,42.36 Hz,264.77
2025-11-25 16:05:52,-181,42.18 Hz,263.64
2025-11-25 16:05:52,-180,42.18 Hz,263.64
2025-11-25 16:05:52,-179,42.18 Hz,263.64
2025-11-25 16:05:52,-178,42.00 Hz,262.50
2025-11-25 16:05:53,-177,42.00 Hz,262.50
2025-11-25 16:05:53,-176,41.82 Hz,261.36
2025-11-25 16:05:53,-175,41.82 Hz,261.36
2025-11-25 16:05:53,-174,41.82 Hz,261.36
2025-11-25 16:05:54,-173,41.64 Hz,260.23
2025-11-25 16:05:54,-172,41.45 Hz,259.09
2025-11-25 16:05:54,-171,41.45 Hz,259.09
2025-11-25 16:05:54,-170,41.45 Hz,259.09
2025-11-25 16:05:55,-169,41.27 Hz,257.95
2025-11-25 16:05:55,-168,41.09 Hz,256.82
2025-11-25 16:05:55,-167,41.09 Hz,256.82
2025-11-25 16:05:55,-166,40.73 Hz,254.55
2025-11-25 16:05:56,-165,40.36 Hz,252.27
2025-11-25 16:05:56,-164,40.55 Hz,253.41
2025-11-25 16:05:56,-163,40.55 Hz,253.41
2025-11-25 16:05:56,-162,40.55 Hz,253.41
2025-11-25 16:05:57,-161,40.36 Hz,252.27
2025-11-25 16:05:57,-160,40.55 Hz,253.41
2025-11-25 16:05:57,-159,40.55 Hz,253.41
2025-11-25 16:05:57,-158,40.55 Hz,253.41
2025-11-25 16:05:58,-157,40.36 Hz,252.27
2025-11-25 16:05:58,-156,40.55 Hz,253.41
2025-11-25 16:05:58,-155,40.55 Hz,253.41
2025-11-25 16:05:58,-154,40.55 Hz,253.41
2025-11-25 16:05:59,-153,40.55 Hz,253.41
2025-11-25 16:05:59,-152,40.36 Hz,252.27
2025-11-25 16:05:59,-151,40.55 Hz,253.41
2025-11-25 16:05:59,-150,40.55 Hz,253.41
2025-11-25 16:06:00,-149,40.55 Hz,253.41
2025-11-25 16:06:00,-148,40.36 Hz,252.27
2025-11-25 16:06:00,-147,40.55 Hz,253.41
2025-11-25 16:06:00,-146,40.36 Hz,252.27
2025-11-25 16:06:01,-145,39.27 Hz,245.45
2025-11-25 16:06:01,-144,38.73 Hz,242.05
2025-11-25 16:06:01,-143,38.55 Hz,240.91
2025-11-25 16:06:01,-142,38.55 Hz,240.91
2025-11-25 16:06:02,-141,38.36 Hz,239.77
2025-11-25 16:06:02,-140,38.18 Hz,238.64
2025-11-25 16:06:02,-139,38.00 Hz,237.50
2025-11-25 16:06:02,-138,38.00 Hz,237.50
2025-11-25 16:06:03,-137,37.82 Hz,236.36
2025-11-25 16:06:03,-136,37.82 Hz,236.36
2025-11-25 16:06:03,-135,37.64 Hz,235.23
2025-11-25 16:06:03,-134,37.45 Hz,234.09
2025-11-25 16:06:04,-133,37.27 Hz,232.95
2025-11-25 16:06:04,-132,37.27 Hz,232.95
2025-11-25 16:06:04,-131,36.91 Hz,230.68
2025-11-25 16:06:04,-130,36.91 Hz,230.68
2025-11-25 16:06:05,-129,36.73 Hz,229.55
2025-11-25 16:06:05,-128,36.73 Hz,229.55
2025-11-25 16:06:05,-127,36.36 Hz,227.27
2025-11-25 16:06:05,-126,36.36 Hz,227.27
2025-11-25 16:06:06,-125,36.00 Hz,225.00
2025-11-25 16:06:06,-124,36.00 Hz,225.00
2025-11-25 16:06:06,-123,35.82 Hz,223.86
2025-11-25 16:06:06,-122,35.64 Hz,222.73
2025-11-25 16:06:06,-121,35.45 Hz,221.59
2025-11-25 16:06:07,-120,35.27 Hz,220.45
2025-11-25 16:06:07,-119,35.09 Hz,219.32
2025-11-25 16:06:07,-118,35.09 Hz,219.32
2025-11-25 16:06:07,-117,34.73 Hz,217.05
2025-11-25 16:06:08,-116,34.55 Hz,215.91
2025-11-25 16:06:08,-115,34.55 Hz,215.91
2025-11-25 16:06:08,-114,34.18 Hz,213.64
2025-11-25 16:06:08,-113,34.00 Hz,212.50
2025-11-25 16:06:09,-112,33.82 Hz,211.36
2025-11-25 16:06:09,-111,33.82 Hz,211.36
2025-11-25 16:06:09,-110,33.45 Hz,209.09
2025-11-25 16:06:09,-109,33.09 Hz,206.82
