Timestamp,Output,Frequency (Hz),RPM
2025-11-25 16:01:50,-255,12.18 Hz,76.14
2025-11-25 16:01:50,-254,34.91 Hz,218.18
2025-11-25 16:01:50,-253,42.91 Hz,268.18
2025-11-25 16:01:50,-252,45.64 Hz,285.23
2025-11-25 16:01:51,-251,46.55 Hz,290.91
2025-11-25 16:01:51,-250,46.55 Hz,290.91
2025-11-25 16:01:51,-249,46.36 Hz,289.77
2025-11-25 16:01:51,-248,46.00 Hz,287.50
2025-11-25 16:01:52,-247,45.82 Hz,286.36
2025-11-25 16:01:52,-246,45.45 Hz,284.09
2025-11-25 16:01:52,-245,45.27 Hz,282.95
2025-11-25 16:01:52,-244,45.09 Hz,281.82
2025-11-25 16:01:53,-243,44.91 Hz,280.68
2025-11-25 16:01:53,-242,44.91 Hz,280.68
2025-11-25 16:01:53,-241,44.73 Hz,279.55
2025-11-25 16:01:53,-240,44.73 Hz,279.55
2025-11-25 16:01:54,-239,44.91 Hz,280.68
2025-11-25 16:01:54,-238,44.73 Hz,279.55
2025-11-25 16:01:54,-237,44.73 Hz,279.55
2025-11-25 16:01:54,-236,44.73 Hz,279.55
2025-11-25 16:01:55,-235,44.73 Hz,279.55
2025-11-25 16:01:55,-234,44.73 Hz,279.55
2025-11-25 16:01:55,-233,44.91 Hz,280.68
2025-11-25 16:01:55,-232,44.73 Hz,279.55
2025-11-25 16:01:55,-231,44.73 Hz,279.55
2025-11-25 16:01:56,-230,44.91 Hz,280.68
2025-11-25 16:01:56,-229,44.73 Hz,279.55
2025-11-25 16:01:56,-228,44.73 Hz,279.55
2025-11-25 16:01:56,-227,44.55 Hz,278.41
2025-11-25 16:01:57,-226,44.73 Hz,279.55
2025-11-25 16:01:57,-225,44.55 Hz,278.41
2025-11-25 16:01:57,-224,44.55 Hz,278.41
2025-11-25 16:01:57,-223,44.18 Hz,276.14
2025-11-25 16:01:58,-222,44.36 Hz,277.27
2025-11-25 16:01:58,-221,44.18 Hz,276.14
2025-11-25 16:01:58,-220,44.18 Hz,276.14
2025-11-25 16:01:58,-219,44.18 Hz,276.14
2025-11-25 16:01:59,-218,44.00 Hz,275.00
2025-11-25 16:01:59,-217,44.00 Hz,275.00
2025-11-25 16:01:59,-216,43.82 Hz,273.86
2025-11-25 16:01:59,-215,44.00 Hz,275.00
2025-11-25 16:02:00,-214,43.82 Hz,273.86
2025-11-25 16:02:00,-213,43.82 Hz,273.86
2025-11-25 16:02:00,-212,43.64 Hz,272.73
2025-11-25 16:02:00,-211,43.82 Hz,273.86
2025-11-25 16:02:01,-210,43.64 Hz,272.73
2025-11-25 16:02:01,-209,43.64 Hz,272.73
2025-11-25 16:02:01,-208,43.45 Hz,271.59
2025-11-25 16:02:01,-207,43.64 Hz,272.73
2025-11-25 16:02:02,-206,43.45 Hz,271.59
2025-11-25 16:02:02,-205,43.27 Hz,270.45
2025-11-25 16:02:02,-204,43.45 Hz,271.59
2025-11-25 16:02:02,-203,43.27 Hz,270.45
2025-11-25 16:02:03,-202,43.09 Hz,269.32
2025-11-25 16:02:03,-201,43.09 Hz,269.32
2025-11-25 16:02:03,-200,42.91 Hz,268.18
2025-11-25 16:02:03,-199,43.09 Hz,269.32
2025-11-25 16:02:04,-198,42.91 Hz,268.18
2025-11-25 16:02:04,-197,42.73 Hz,267.05
2025-11-25 16:02:04,-196,42.73 Hz,267.05
2025-11-25 16:02:04,-195,42.73 Hz,267.05
2025-11-25 16:02:05,-194,42.73 Hz,267.05
2025-11-25 16:02:05,-193,42.55 Hz,265.91
2025-11-25 16:02:05,-192,42.36 Hz,264.77
2025-11-25 16:02:05,-191,42.55 Hz,265.91
2025-11-25 16:02:06,-190,42.36 Hz,264.77
2025-11-25 16:02:06,-189,42.36 Hz,264.77
2025-11-25 16:02:06,-188,42.18 Hz,263.64
2025-11-25 16:02:06,-187,42.18 Hz,263.64
2025-11-25 16:02:07,-186,42.18 Hz,263.64
2025-11-25 16:02:07,-185,42.00 Hz,262.50
2025-11-25 16:02:07,-184,41.82 Hz,261.36
2025-11-25 16:02:07,-183,41.82 Hz,261.36
2025-11-25 16:02:08,-182,41.82 Hz,261.36
2025-11-25 16:02:08,-181,41.45 Hz,259.09
2025-11-25 16:02:08,-180,41.64 Hz,260.23
2025-11-25 16:02:08,-179,41.45 Hz,259.09
2025-11-25 16:02:09,-178,41.27 Hz,257.95
2025-11-25 16:02:09,-177,41.45 Hz,259.09
2025-11-25 16:02:09,-176,41.09 Hz,256.82
2025-11-25 16:02:09,-175,41.27 Hz,257.95
2025-11-25 16:02:10,-174,41.09 Hz,256.82
2025-11-25 16:02:10,-173,41.09 Hz,256.82
2025-11-25 16:02:10,-172,40.91 Hz,255.68
2025-11-25 16:02:10,-171,40.91 Hz,255.68
2025-11-25 16:02:11,-170,40.91 Hz,255.68
2025-11-25 16:02:11,-169,40.91 Hz,255.68
2025-11-25 16:02:11,-168,40.55 Hz,253.41
2025-11-25 16:02:11,-167,40.36 Hz,252.27
2025-11-25 16:02:12,-166,40.55 Hz,253.41
2025-11-25 16:02:12,-165,40.36 Hz,252.27
